ncName,ncType,Score
RP5-998N21.4,lncRNA,1.0
NONHSAT089447,lncRNA,0.999994
hsa-miR-206,miRNA,0.999994
hsa-mir-206,miRNA,0.99998
hsa-miR-148b-3p,miRNA,0.99998
MIAT,lncRNA,0.999945
mmu-miR-137-3p,miRNA,0.999831
hsa-miR-195-3p,miRNA,0.999831
hsa-miR-15b-3p,miRNA,0.999831
hsa-miR-15a-3p,miRNA,0.999141
hsa-miR-19b-3p,miRNA,0.999141
hsa-miR-124-3p,miRNA,0.998598
hsa-miR-30b-3p,miRNA,0.998598
hsa-miR-7-2-3p,miRNA,0.994838
hsa-miR-92b-3p,miRNA,0.994838
hsa-miR-92a-2-5p,miRNA,0.994838
hsa-miR-9-3,miRNA,0.994838
hsa-miR-26b-3p,miRNA,0.994838
hsa-miR-9-2,miRNA,0.994838
hsa-miR-24-2-5p,miRNA,0.994838
hsa-miR-7-3,miRNA,0.994838
hsa-miR-137-3p,miRNA,0.988338
DISC1,lncRNA,0.973352
hsa-miR-107,miRNA,0.973352
DGCR5,lncRNA,0.973352
hsa-miR-936,miRNA,0.973352
hsa-miR-92,miRNA,0.973352
hsa-miR-29b-3p,miRNA,0.973352
hsa-miR-92a-3p,miRNA,0.973352
hsa-miR-146a-3p,miRNA,0.973352
hsa-mir-198,miRNA,0.973352
hsa-miR-24-3p,miRNA,0.973352
hsa-miR-7-5p,miRNA,0.973352
hsa-miR-9-3p,miRNA,0.968971
hsa-miR-204-3p,miRNA,0.968971
hsa-miR-30a-3p,miRNA,0.968971
hsa-miR-30a-5p,miRNA,0.968971
hsa-miR-29c-3p,miRNA,0.968971
hsa-miR-572,miRNA,0.90146
hsa-miR-34a-3p,miRNA,0.90146
hsa-miR-143-3p,miRNA,0.90146
hsa-miR-564,miRNA,0.90146
NONHSAT041499,lncRNA,0.90146
NONHSAT021545,lncRNA,0.90146
hsa-miR-132-3p,miRNA,0.90146
hsa-miR-432-3p,miRNA,0.90146
MIAT,lncRNA,0.90146
hsa-miR-449a,miRNA,0.90146
hsa-miR-223-3p,miRNA,0.90146
DICER1-AS1,lncRNA,0.90146
hsa-miR-34,miRNA,0.90146
hsa-let-7e,miRNA,0.90146
hsa-miR-181a-3p,miRNA,0.90146
hsa-miR-548d-3p,miRNA,0.90146
HNF1A-AS1,lncRNA,0.90146
AL133284.1,lncRNA,0.90146
hsa-let-7d,miRNA,0.90146
hsa-miR-652-3p,miRNA,0.90146
H19,lncRNA,0.90146
hsa-miR-219a-1-3p,miRNA,0.90146
LRRC2-AS1,lncRNA,0.90146
CHAST,lncRNA,0.90146
HAR1B,lncRNA,0.694506
CTLA4,mRNA,0.694506
hsa-miR-17-3p,miRNA,0.694506
HAR1A,lncRNA,0.694506
hsa-miR-16-5p,miRNA,0.694506
DLG2-AS1,lncRNA,0.694506
TRAF3IP2-AS1,lncRNA,0.694506
hsa-miR-497-3p,miRNA,0.694506
CirchHomeR1a,circRNA,0.694506
AC006129.1,lncRNA,0.694506
hsa-let-7g,miRNA,0.694506
hsa_circEZH1_001,circRNA,0.694506
AC006129.1,lncRNA,0.694506
hsa_circTMEM2_001,circRNA,0.694506
hsa_circRARS_001,circRNA,0.694506
hsa-miR-181,miRNA,0.694506
SLC1A3,mRNA,0.694506
hsa_circFKBP8_001,circRNA,0.694506
hsa-miR-181b-2-3p,miRNA,0.694506
SLC1A2,mRNA,0.694506
hsa-mir-30e,miRNA,0.635617
hsa-miR-30e-3p,miRNA,0.635617
hsa-miR-193a-3p,miRNA,0.328976
DAOA-AS1,lncRNA,0.328976
hsa-miR-574-5P,miRNA,0.328976
hsa-miR-33b-5p,miRNA,0.328976
hsa-miR-208a-3p,miRNA,0.328976
ITGA3,mRNA,0.328976
hsa-miR-218-1-3p,miRNA,0.328976
MAP1LC3A,mRNA,0.328976
hsa-miR-499a-3p,miRNA,0.328976
hsa-miR-4429,miRNA,0.328976
hsa-miR-494-5p,miRNA,0.328976
hsa-miR-135a-1,miRNA,0.328976
DISC2,lncRNA,0.328976
hsa-miR-4532,miRNA,0.328976
hsa-miR-618,miRNA,0.328976
hsa-miR-29a-3p,miRNA,0.328976
ATG2A,mRNA,0.328976
hsa-miR-183-3p,miRNA,0.328976
TRIM11,mRNA,0.328976
